#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
10.0%	40	0.020000000000000014	-72136.97512986946	22032.367928431824	-50104.60720143764	294.48037313707056	0	--
20.0%	80	0.04000000000000003	-72146.36063419706	22197.812717619276	-49948.54791657778	296.6916762258608	3.05	0:04
30.0%	120	0.060000000000000046	-71857.83185646098	22095.507187896586	-49762.3246685644	295.3242802807411	3.07	0:03
40.0%	160	0.08000000000000006	-71982.7393464919	22185.548595477576	-49797.19075101432	296.52775633871033	3.07	0:03
50.0%	200	0.10000000000000007	-71738.99868143052	21969.526584232903	-49769.47209719761	293.6404478712868	3.08	0:02
60.0%	240	0.12000000000000009	-71929.33089363277	22274.51532515226	-49654.81556848051	297.7168684594088	3.08	0:02
70.0%	280	0.1400000000000001	-72096.1481326246	22436.553270360862	-49659.59486226374	299.88263632977083	3.09	0:01
80.0%	320	0.16000000000000011	-71842.50247700719	22312.226734176293	-49530.2757428309	298.220911866681	3.09	0:01
90.0%	360	0.18000000000000013	-71481.93403689547	22044.134842175758	-49437.799194719715	294.63764743283576	3.07	0:00
100.0%	400	0.20000000000000015	-71736.18133029043	22329.268483985856	-49406.91284630458	298.44868860221527	3.07	0:00
