#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
10.0%	40	0.020000000000000014	-85386.51445890348	15110.204877693395	-70276.30958121008	201.9600791442231	0	--
20.0%	80	0.04000000000000003	-85324.46485327375	15079.555359902279	-70244.90949337147	201.55042361083164	3.04	0:04
30.0%	120	0.060000000000000046	-85284.36331934403	14990.755993692273	-70293.60732565176	200.36354843786793	3.04	0:03
40.0%	160	0.08000000000000006	-85134.1264774162	14755.503220644852	-70378.62325677135	197.21920532352044	2.98	0:03
50.0%	200	0.10000000000000007	-85418.71355385632	15038.655432801614	-70380.0581210547	201.0037630869603	3.01	0:02
60.0%	240	0.12000000000000009	-85474.46188562593	15116.024599727405	-70358.43728589853	202.03786442457502	3.03	0:02
70.0%	280	0.1400000000000001	-85438.06965886909	15081.93820022796	-70356.13145864113	201.58227219426632	3.04	0:01
80.0%	320	0.16000000000000011	-85590.92494672531	15221.63001211809	-70369.29493460723	203.4493659639067	3.05	0:01
90.0%	360	0.18000000000000013	-85692.17648588383	15316.176340545166	-70376.00014533866	204.7130539235661	3.06	0:00
100.0%	400	0.20000000000000015	-85323.91815516919	15001.051999123925	-70322.86615604526	200.50116285730675	3.06	0:00
